addr,size,ninsn,ncallers,ncallees,nstr,first_str
0x020197d2,202,81,3,6,0,""
0x0201989c,20,10,1,1,0,""
0x020198b0,30,15,1,1,0,""
0x020198ce,132,46,3,10,0,""
0x02019952,22,8,6,2,0,""
0x02019968,14,5,3,1,0,""
0x02019976,14,5,3,1,0,""
0x02019984,14,5,3,1,0,""
0x02019992,14,5,3,1,0,""
0x020199a0,12,5,7,1,0,""
0x020199ac,12,5,8,1,0,""
0x020199b8,78,29,8,3,0,""
0x02019a06,14,5,5,1,0,""
0x02019a14,66,30,5,10,0,""
0x02019a56,12,5,4,1,0,""
0x02019a62,14,5,3,1,0,""
0x02019a70,14,5,3,1,0,""
0x02019a7e,14,5,3,1,0,""
0x02019a8c,14,5,3,1,0,""
0x02019a9a,14,5,3,1,0,""
0x02019aa8,24,8,5,2,0,""
0x02019ac0,14,5,5,1,0,""
0x02019ace,230,92,4,20,0,""
0x02019bb4,174,66,1,1,0,""
0x02019c62,368,148,1,8,0,""
0x02019dd2,152,57,5,6,0,""
0x02019e6a,52,22,4,3,0,""
0x02019e9e,954,249,0,1,0,""
0x0201a258,72,24,5,1,0,""
0x0201a2a0,20,10,1,1,0,""
0x0201a2b4,1326,364,0,3,0,""
0x0201a7e2,5474,1645,0,3,0,""
0x0201bd44,594,149,1,0,0,""
0x0201bf96,3638,961,0,4,0,""
0x0201cdcc,1372,383,0,2,0,""
0x0201d328,18,8,2,0,0,""
0x0201d33a,446,148,10,5,0,""
0x0201d4f8,38,12,7,1,0,""
0x0201d51e,20,6,2,1,0,""
0x0201d532,286,105,2,3,0,""
0x0201d650,76,25,2,1,0,""
0x0201d69c,768,249,4,7,0,""
0x0201d99c,52,14,2,0,0,""
0x0201d9d0,64,22,2,2,0,""
0x0201da10,168,55,2,0,0,""
0x0201dab8,166,54,2,9,0,""
0x0201db5e,20,6,4,1,0,""
0x0201db72,20,6,4,1,0,""
0x0201db86,388,126,1,1,0,""
0x0201dd0a,2152,721,1,2,0,""
0x0201e572,28,11,1,1,0,""
0x0201e58e,406,139,3,9,0,""
0x0201e724,64,21,5,0,0,""
0x0201e764,576,214,3,2,0,""
0x0201e9a4,380,125,3,3,0,""
0x0201eb20,8,3,10,1,0,""
0x0201eb28,6,3,2,0,0,""
0x0201eb2e,304,112,6,1,0,""
0x0201ec5e,386,153,6,3,0,""
0x0201ede0,182,83,2,1,0,""
0x0201ee96,68,21,4,2,0,""
0x0201eeda,6,3,1,0,0,""
0x0201eee0,12,5,2,0,0,""
0x0201eeec,376,129,8,4,0,""
0x0201f064,12,5,2,0,0,""
0x0201f070,14,6,2,0,0,""
0x0201f07e,82,28,28,5,0,""
0x0201f0d0,76,24,2,3,0,""
0x0201f11c,40,16,11,2,0,""
0x0201f144,188,68,2,5,0,""
0x0201f200,360,122,1,10,0,""
0x0201f368,148,60,1,0,0,""
0x0201f3fc,112,42,1,0,0,""
0x0201f46c,126,44,1,1,0,""
0x0201f4ea,266,98,1,0,0,""
0x0201f5f4,2026,675,4,3,0,""
0x0201fdde,134,43,3,2,0,""
0x0201fe64,478,169,5,9,0,""
0x02020042,410,110,2,0,0,""
0x020201dc,886,281,0,13,0,""
0x02020552,56,19,2,2,0,""
0x0202058a,410,129,2,0,0,""
0x02020724,1132,344,1,2,0,""
0x02020b90,62,21,3,0,0,""
0x02020bce,64,21,1,0,0,""
0x02020c0e,2102,676,1,6,0,""
0x02021444,66,23,2,2,0,""
0x02021486,282,84,1,0,0,""
0x020215a0,74,22,1,1,0,""
0x020215ea,32,11,1,1,0,""
0x0202160a,250,90,1,11,0,""
0x02021704,24,8,2,2,0,""
0x0202171c,22,8,4,2,0,""
0x02021732,14,5,2,1,0,""
0x02021740,12,5,2,1,0,""
0x0202174c,12,5,1,1,0,""
0x02021758,12,5,2,1,0,""
0x02021764,162,57,1,4,0,""
0x02021806,14,5,1,1,0,""
0x02021814,12,5,1,1,0,""
0x02021820,12,5,2,1,0,""
0x0202182c,2036,749,1,42,0,""
0x02022020,230,80,1,21,0,""
0x02022106,380,125,1,2,0,""
0x02022282,142,47,2,2,0,""
0x02022310,170,54,2,2,0,""
0x020223ba,2240,757,2,9,0,""
0x02022c7a,112,33,1,2,0,""
0x02022cea,20,6,1,0,0,""
0x02022cfe,4514,1434,0,54,1,"@ A Q"
0x02023ea0,924,295,1,8,0,""
0x0202423c,1596,526,1,3,0,""
0x02024878,2198,761,0,42,0,""
0x0202510e,684,254,1,22,1,"%04X"
0x020253ba,254,85,1,5,0,""
0x020254b8,210,71,1,6,0,""
0x0202558a,416,151,1,7,0,""
0x0202572a,102,38,1,5,0,""
0x02025790,3044,1009,0,37,0,""
0x02026374,260,94,4,2,0,""
0x02026478,64,18,4,2,0,""
0x020264b8,12,5,3,0,0,""
0x020264c4,56,23,2,1,0,""
0x020264fc,14,6,2,0,0,""
0x0202650a,116,42,2,2,0,""
0x0202657e,574,184,3,14,0,""
0x020267bc,98,34,3,4,0,""
0x0202681e,6,3,5,0,0,""
0x02026824,76,27,15,5,0,""
0x02026870,22,7,2,0,0,""
0x02026886,14,6,2,0,0,""
0x02026894,20,7,2,0,0,""
0x020268a8,14,4,2,1,0,""
0x020268b6,770,245,2,10,0,""
0x02026bb8,12,4,1,1,0,""
0x02026bc4,926,294,1,3,0,""
0x02026f62,34,10,4,0,0,""
0x02026f84,10,3,6,0,0,""
0x02026f8e,32,14,2,1,0,""
0x02026fae,20,5,2,0,0,""
0x02026fc2,94,34,4,1,0,""
0x02027020,28,8,4,1,0,""
0x0202703c,64,21,2,0,0,""
0x0202707c,94,33,2,3,0,""
0x020270da,56,24,2,2,0,""
0x02027112,384,116,1,5,0,""
0x02027292,180,53,2,7,0,""
0x02027346,60,20,1,2,0,""
0x02027382,60,20,1,0,0,""
0x020273be,8,3,9,1,0,""
0x020273c6,280,95,3,3,0,""
0x020274de,42,14,1,1,0,""
0x02027508,720,230,1,13,1,"0123456789ABCDEFD"
0x020277d8,22,10,3,1,0,""
0x020277ee,106,37,1,4,1,"0123456789ABCDEFD"
0x02027858,326,112,2,9,0,""
0x0202799e,10,3,3,1,0,""
0x020279a8,332,105,1,2,0,""
0x02027af4,732,230,0,8,0,""
0x02027dd0,274,93,0,3,0,""
0x02027ee2,514,184,0,12,1,"sys_event"
0x020280e4,82,30,1,2,0,""
0x02028136,80,31,2,2,0,""
0x02028186,82,30,2,2,0,""
0x020281d8,72,27,1,2,0,""
0x02028220,158,59,0,3,0,""
0x020282be,26,11,2,0,0,""
0x020282d8,86,33,4,4,0,""
0x0202832e,134,57,6,1,0,""
0x020283b4,28,8,5,0,0,""
0x020283d0,170,66,2,3,0,""
0x0202847a,104,42,2,2,0,""
0x020284e2,48,18,3,2,0,""
0x02028512,26,10,2,1,0,""
0x0202852c,168,67,1,5,0,""
0x020285d4,104,40,1,2,0,""
0x0202863c,100,41,1,3,0,""
0x020286a0,718,280,0,15,0,""
0x0202896e,42,15,1,2,0,""
0x02028998,428,162,0,9,1,"usb_update_mode"
0x02028b44,94,37,1,1,0,""
0x02028ba2,160,47,1,3,0,""
0x02028c42,58,21,2,0,0,""
0x02028c7c,162,60,4,1,0,""
0x02028d1e,108,39,5,0,0,""
0x02028d8a,572,191,1,16,0,""
0x02028fc6,12,6,3,0,0,""
0x02028fd2,10,4,9,0,0,""
0x02028fdc,22,9,11,0,0,""
0x02028ff2,80,36,1,1,0,""
0x02029042,430,141,1,5,0,""
0x020291f0,32,13,4,1,0,""
0x02029210,170,57,2,5,0,""
0x020292ba,66,27,18,0,0,""
0x020292fc,86,34,23,1,0,""
0x02029352,952,325,1,13,0,""
0x0202970a,16,8,8,0,0,""
0x0202971a,64,25,3,0,0,""
0x0202975a,8,4,7,0,0,""
0x02029762,1990,658,0,16,0,""
0x02029f28,58,21,21,1,0,""
0x02029f62,10,4,6,0,0,""
0x02029f6c,114,42,6,1,0,""
0x02029fde,188,65,2,1,0,""
0x0202a09a,318,114,7,4,0,""
0x0202a1d8,50,22,3,1,0,""
0x0202a20a,606,208,3,5,0,""
0x0202a468,134,51,2,3,0,""
0x0202a4ee,264,92,12,7,0,""
0x0202a5f6,102,40,1,2,0,""
0x0202a65c,38,14,1,0,0,""
0x0202a682,38,14,6,0,0,""
0x0202a6a8,1192,428,10,7,0,""
0x0202ab50,170,65,4,3,0,""
0x0202abfa,138,48,7,3,0,""
0x0202ac84,312,114,0,13,0,""
0x0202adbc,316,110,0,3,0,""
0x0202aef8,14,4,4,1,0,""
0x0202af06,10,3,5,1,0,""
0x0202af10,508,183,2,1,0,""
0x0202b10c,42,14,2,0,0,""
0x0202b136,34,14,2,1,0,""
0x0202b158,198,63,8,8,0,""
0x0202b21e,20,8,2,0,0,""
0x0202b232,316,110,1,12,0,""
0x0202b36e,104,36,1,1,0,""
0x0202b3d6,194,73,5,4,0,""
0x0202b498,56,23,3,0,0,""
0x0202b4d0,106,39,2,2,0,""
